"id","time","treat","age","educ","black","hispan","white","married","nodegree","re74","re75","re78","r_iptw"
40,0,1,24,10,1,0,0,0,1,0,0,0,0.408255175469096
41,0,1,21,12,1,0,0,0,0,0,0,1254.582,0.466047590902776
42,0,1,19,9,0,0,1,0,1,0,0,13188.83,3.21722794450512
43,0,1,17,8,1,0,0,0,1,0,0,8061.485,0.466218834864553
44,0,1,18,8,0,1,0,1,1,0,0,2787.96,3.29273045822674
45,0,1,20,11,1,0,0,0,1,0,0,3972.54,0.398251810970302
46,0,1,25,11,1,0,0,1,1,0,0,0,0.507207281317161
47,0,1,17,8,1,0,0,0,1,0,0,0,0.466218834864553
48,0,1,17,9,1,0,0,0,1,0,0,0,0.441651456103101
49,0,1,25,5,1,0,0,0,1,0,0,12187.41,0.537139658384933
50,0,1,23,12,1,0,0,0,0,0,0,4843.176,0.460930373809913
51,0,1,28,8,1,0,0,0,1,0,0,0,0.439943935430837
52,0,1,31,11,1,0,0,1,1,0,0,8087.487,0.488609993660634
53,0,1,18,11,1,0,0,0,1,0,0,0,0.401359725598181
54,0,1,25,12,1,0,0,0,0,0,0,2348.973,0.455972105182424
55,0,1,30,11,1,0,0,1,1,0,0,590.7818,0.491588585417093
56,0,1,17,10,1,0,0,0,1,0,0,0,0.420743858401254
57,0,1,37,9,1,0,0,0,1,0,0,1067.506,0.403672283509223
58,0,1,41,4,1,0,0,1,1,0,0,7284.986,0.796089622645586
59,0,1,42,14,1,0,0,1,0,0,0,13167.52,0.498179658773109
60,0,1,22,11,0,0,1,0,1,0,0,1048.432,2.31554329025722
61,0,1,17,8,1,0,0,0,1,0,0,0,0.466218834864553
62,0,1,29,8,1,0,0,0,1,0,0,1923.938,0.437773751064139
63,0,1,35,10,1,0,0,0,1,0,0,4666.236,0.391215221187691
64,0,1,27,11,1,0,0,0,1,0,0,549.2984,0.388114885148326
65,0,1,29,4,1,0,0,0,1,0,0,762.9146,0.561473727592362
66,0,1,28,9,1,0,0,0,1,0,0,10694.29,0.419290705599324
67,0,1,27,11,1,0,0,0,1,0,0,0,0.388114885148326
68,0,1,23,7,0,0,1,0,1,0,0,0,4.08118408469067
69,0,1,45,5,1,0,0,1,1,0,0,8546.715,0.696629263905473
70,0,1,29,13,1,0,0,0,0,0,0,7479.656,0.424881027412552
71,0,1,27,9,1,0,0,0,1,0,0,0,0.421166969137575
72,0,1,46,13,1,0,0,0,0,0,0,647.2046,0.39580891077634
73,0,1,18,6,1,0,0,0,1,0,0,0,0.525443266287175
74,0,1,25,12,1,0,0,0,0,0,0,11965.81,0.455972105182424
75,0,1,28,15,1,0,0,0,0,0,0,9598.541,0.392228080449209
76,0,1,25,11,0,0,1,0,1,0,0,18783.35,2.22242786665392
77,0,1,22,12,1,0,0,0,0,0,0,18678.08,0.463468799100673
78,0,1,21,9,1,0,0,0,1,0,0,0,0.4330679939108
79,0,1,40,11,1,0,0,0,1,0,0,23005.6,0.372016848861031
80,0,1,22,11,1,0,0,0,1,0,0,6456.697,0.39524043284882
81,0,1,25,12,1,0,0,0,0,0,0,0,0.455972105182424
82,0,1,18,12,1,0,0,0,0,0,0,2321.107,0.474032635736542
83,0,1,38,12,0,0,1,0,0,0,0,4941.849,3.00278084717243
84,0,1,27,13,1,0,0,0,0,0,0,0,0.428842601534426
85,0,1,27,8,1,0,0,0,1,0,0,0,0.442148630473178
86,0,1,38,11,1,0,0,0,1,0,0,0,0.3742837427053
87,0,1,23,8,0,1,0,0,1,0,0,3881.284,1.50422310782648
88,0,1,26,11,1,0,0,0,1,0,0,17230.96,0.389495384988334
89,0,1,21,12,0,0,1,0,0,0,0,8048.603,3.8338148381772
90,0,1,25,8,1,0,0,0,1,0,0,0,0.446663756492578
91,0,1,31,11,1,0,0,1,1,0,0,14509.93,0.488609993660634
92,0,1,17,10,1,0,0,0,1,0,0,0,0.420743858401254
93,0,1,25,11,1,0,0,0,1,0,0,0,0.390897837793691
94,0,1,21,12,1,0,0,0,0,0,0,9983.784,0.466047590902776
95,0,1,44,11,1,0,0,0,1,0,0,0,0.367692113439379
96,0,1,25,12,0,0,1,0,0,0,0,5587.503,3.61777279213114
97,0,1,18,9,1,0,0,0,1,0,0,4482.845,0.439454543462904
98,0,1,42,12,1,0,0,0,0,0,0,2456.153,0.419585719514138
99,0,1,25,10,1,0,0,0,1,0,0,0,0.406581023658186
100,0,1,31,9,0,1,0,0,1,0,0,26817.6,1.20363618733436
101,0,1,24,10,1,0,0,0,1,0,0,0,0.408255175469096
102,0,1,26,10,1,0,0,0,1,0,0,9265.788,0.404933077789148
103,0,1,25,11,1,0,0,0,1,0,0,485.2298,0.390897837793691
104,0,1,18,11,1,0,0,0,1,0,0,4814.627,0.401359725598181
105,0,1,19,11,1,0,0,0,1,0,0,7458.105,0.399793510091086
106,0,1,43,9,1,0,0,0,1,0,0,0,0.394426280268799
107,0,1,27,13,1,0,0,0,0,0,0,34099.28,0.428842601534426
108,0,1,17,9,1,0,0,0,1,0,0,1953.268,0.441651456103101
109,0,1,30,11,1,0,0,0,1,0,0,0,0.384101693875464
110,0,1,26,10,1,0,0,1,1,2027.999,0,0,0.576780055971477
111,0,1,20,9,1,0,0,0,1,6083.994,0,8881.665,0.508461908291879
112,0,1,17,9,0,1,0,0,1,445.1704,74.34345,6210.67,1.45859990706617
113,0,1,20,12,1,0,0,0,0,989.2678,165.2077,0,0.479403864138341
114,0,1,18,11,1,0,0,0,1,858.2543,214.5636,929.8839,0.406503946956603
115,0,1,27,12,1,0,0,1,0,3670.872,334.0493,0,0.741611987016071
116,0,1,21,12,0,0,1,0,0,3670.872,334.0494,12558.02,4.81735636628818
117,0,1,27,12,1,0,0,0,0,2143.413,357.9499,22163.25,0.47278012265709
118,0,1,20,12,1,0,0,0,0,0,377.5686,1652.637,0.465323875590003
119,0,1,19,10,1,0,0,0,1,0,385.2741,8124.715,0.41467513476585
120,0,1,23,12,1,0,0,0,0,5506.308,501.0741,671.3318,0.532041774896202
121,0,1,29,14,1,0,0,0,0,0,679.6734,17814.98,0.402719888604914
122,0,1,18,10,1,0,0,0,1,0,798.9079,9737.154,0.413959734360762
123,0,1,19,9,1,0,0,0,1,0,798.9079,17685.18,0.431607671403484
124,0,1,27,13,0,0,1,1,0,9381.566,853.7225,0,12.0754058850277
125,0,1,18,11,0,0,1,0,1,3678.231,919.5579,4321.705,2.96100614693131
126,0,1,27,9,1,0,0,1,1,0,934.4454,1773.423,0.563351160155746
127,0,1,22,12,1,0,0,0,0,5605.852,936.1773,0,0.531965018437436
128,0,1,23,10,1,0,0,1,1,0,936.4386,11233.26,0.538816189048273
129,0,1,23,12,0,1,0,0,0,9385.74,1117.439,559.4432,2.66629725138066
130,0,1,20,11,1,0,0,0,1,3637.498,1220.836,1085.44,0.419224771064137
131,0,1,17,9,1,0,0,0,1,1716.509,1253.439,5445.2,0.449766894752521
132,0,1,28,11,1,0,0,0,1,0,1284.079,60307.93,0.381088113397596
133,0,1,26,11,1,0,0,1,1,0,1392.853,1460.36,0.489443920932031
134,0,1,20,11,1,0,0,0,1,16318.62,1484.994,6943.342,0.590212182790893
135,0,1,24,11,1,0,0,1,1,824.3886,1666.113,4032.708,0.504324632126229
136,0,1,31,9,1,0,0,0,1,0,1698.607,10363.27,0.404070034180764
137,0,1,23,8,0,0,1,1,1,0,1713.15,4232.309,7.04721824420883
138,0,1,18,10,1,0,0,0,1,2143.411,1784.274,11141.39,0.425955283113287
139,0,1,29,12,1,0,0,0,0,10881.94,1817.284,0,0.589061666527082
140,0,1,26,11,0,0,1,0,1,0,2226.266,13385.86,1.98021808152022
141,0,1,24,9,1,0,0,0,1,9154.7,2288.675,4849.559,0.515835545205944
142,0,1,25,12,1,0,0,0,0,14426.79,2409.274,0,0.684300449884317
143,0,1,24,10,1,0,0,0,1,4250.402,2421.947,1660.508,0.428790355510401
144,0,1,46,8,1,0,0,0,1,3165.658,2594.723,0,0.415330736776802
145,0,1,31,12,0,0,1,0,0,0,2611.218,2484.549,2.92524599762569
146,0,1,19,11,1,0,0,0,1,2305.026,2615.276,4146.603,0.40235448455651
147,0,1,19,8,1,0,0,0,1,0,2657.057,9970.681,0.439941631842468
148,0,1,27,11,1,0,0,0,1,2206.94,2666.274,0,0.389506577083766
149,0,1,26,11,1,0,0,1,1,0,2754.646,26372.28,0.476236908599723
150,0,1,20,10,1,0,0,0,1,5005.731,2777.355,5615.189,0.441962944878786
151,0,1,28,10,1,0,0,0,1,0,2836.506,3196.571,0.387589415312753
152,0,1,24,12,1,0,0,0,0,13765.75,2842.764,6167.681,0.663862874417962
153,0,1,19,8,1,0,0,0,1,2636.353,2937.264,7535.942,0.466332371650726
154,0,1,23,12,1,0,0,0,0,6269.341,3039.96,8484.239,0.514104488378984
155,0,1,42,9,1,0,0,1,1,0,3058.531,1294.409,0.485931796301079
156,0,1,25,13,1,0,0,0,0,12362.93,3090.732,0,0.572314929744918
157,0,1,18,9,1,0,0,0,1,0,3287.375,5010.342,0.417194292357966
158,0,1,21,12,1,0,0,0,0,6473.683,3332.409,9371.037,0.520714845117021
159,0,1,27,10,1,0,0,0,1,1001.146,3550.075,0,0.391967918578875
160,0,1,21,8,1,0,0,0,1,989.2678,3695.897,4279.613,0.437731502275501
161,0,1,22,9,1,0,0,0,1,2192.877,3836.986,3462.564,0.42496685753737
162,0,1,31,4,1,0,0,0,1,8517.589,4023.211,7382.549,0.676001602403597
163,0,1,24,10,1,0,0,1,1,11703.2,4078.152,0,0.759156705800196
164,0,1,29,10,1,0,0,0,1,0,4398.95,0,0.379434080866426
165,0,1,29,12,1,0,0,0,0,9748.387,4878.937,10976.51,0.526533641182602
166,0,1,19,10,0,0,1,0,1,0,5324.109,13829.62,2.16828920970575
167,0,1,19,11,0,1,0,1,1,5424.485,5463.803,6788.463,2.30177603805004
168,0,1,31,9,1,0,0,0,1,10717.03,5517.841,9558.501,0.482135885144704
169,0,1,22,10,1,0,0,1,1,1468.348,5588.664,13228.28,0.510389579891141
170,0,1,21,9,1,0,0,0,1,6416.47,5749.331,743.6666,0.454893765705327
171,0,1,17,10,1,0,0,0,1,1291.468,5793.852,5522.788,0.397448021644452
172,0,1,26,12,1,0,0,1,0,8408.762,5794.831,1424.944,0.770707311845342
173,0,1,20,9,0,1,0,0,1,12260.78,5875.049,1358.643,2.19175138463696
174,0,1,19,10,1,0,0,0,1,4121.949,6056.754,0,0.413854964636666
175,0,1,26,10,1,0,0,0,1,25929.68,6788.958,672.8773,0.764952527317002
176,0,1,28,11,1,0,0,0,1,1929.029,6871.856,0,0.369278631016584
177,0,1,22,12,0,1,0,1,0,492.2305,7055.702,10092.83,2.42453666277004
178,0,1,33,11,1,0,0,0,1,0,7867.916,6281.433,0.353164070932026
179,0,1,22,12,0,0,1,0,0,6759.994,8455.504,12590.71,3.89623630720227
180,0,1,29,10,0,1,0,0,1,0,8853.674,5112.014,0.795055129240787
181,0,1,33,12,1,0,0,1,0,20279.95,10941.35,15952.6,1.0497769531967
182,0,1,25,14,1,0,0,1,0,35040.07,11536.57,36646.95,2.01989283483879
183,0,1,35,9,1,0,0,1,1,13602.43,13830.64,12803.97,0.609085493773977
184,0,1,35,8,1,0,0,1,1,13732.07,17976.15,3786.628,0.593796534284394
185,0,1,33,11,1,0,0,1,1,14660.71,25142.24,4181.942,0.436905587633609
186,0,0,30,12,0,0,1,1,0,20166.73,18347.23,25564.67,0.717434862000336
187,0,0,26,12,0,0,1,1,0,25862.32,17806.55,25564.67,0.710052841420588
188,0,0,25,16,0,0,1,1,0,25862.32,15316.21,25564.67,0.717351371793347
189,0,0,42,11,0,0,1,1,1,21787.05,14265.29,15491.01,0.726674299421333
190,0,0,25,9,1,0,0,1,1,14829.69,13776.53,0,1.23205275264282
191,0,0,37,9,1,0,0,1,1,13685.48,12756.05,17833.2,1.36124966803073
192,0,0,32,12,0,0,1,1,0,19067.58,12625.35,14146.28,0.714109522121958
193,0,0,20,12,1,0,0,0,0,7392.314,12396.19,17765.23,2.13394964549333
194,0,0,38,9,0,1,0,1,1,16826.18,12029.18,0,0.763145490546033
195,0,0,39,10,0,0,1,1,1,16767.41,12022.02,4433.18,0.72757712356896
196,0,0,41,5,0,0,1,1,1,10785.76,11991.58,19451.31,0.719104254188251
197,0,0,31,14,0,0,1,1,0,17831.29,11563.69,22094.97,0.720325471155414
198,0,0,34,8,0,0,1,1,1,8038.872,11404.35,5486.799,0.733689975171178
199,0,0,29,12,0,0,1,1,0,14768.95,11146.55,6420.722,0.71718927655047
200,0,0,22,14,1,0,0,1,0,748.4399,11105.37,18208.55,2.0368376054488
201,0,0,42,0,0,1,0,1,1,2797.833,10929.92,9922.934,0.740183579916783
202,0,0,25,9,0,1,0,0,1,5460.477,10589.76,7539.361,0.95127938543223
203,0,0,28,9,0,0,1,1,1,11091.41,10357.02,15406.78,0.727106258876354
204,0,0,40,13,0,0,1,1,0,3577.621,10301.52,11911.95,0.753861410793487
205,0,0,35,9,0,0,1,1,1,11475.43,9397.403,11087.38,0.728017963249465
206,0,0,27,10,0,1,0,1,1,15711.36,9098.419,17023.41,0.757665583995288
207,0,0,27,6,0,1,0,1,1,7831.189,9071.565,5661.171,0.753074731543519
208,0,0,36,12,0,0,1,1,0,25535.12,8695.597,21905.82,0.707061883508932
209,0,0,47,8,1,0,0,1,1,9275.169,8543.419,0,1.42210344390565
210,0,0,40,11,0,0,1,1,1,20666.35,8502.242,25564.67,0.720287766000883
211,0,0,27,7,0,0,1,1,1,3064.293,8461.065,11149.45,0.731259189152334
212,0,0,36,9,1,0,0,1,1,13256.4,8457.484,0,1.23322166235513
213,0,0,39,6,0,1,0,1,1,13279.91,8441.371,25048.94,0.741667212573529
214,0,0,21,9,0,0,1,1,1,11156.07,8441.371,1213.214,0.721553841569117
215,0,0,29,12,0,0,1,1,0,11199.17,8081.516,0,0.71897962556939
216,0,0,22,13,0,1,0,0,0,6404.843,7882.79,9453.017,0.881768283211659
217,0,0,25,10,0,0,1,1,1,13634.54,7793.274,11688.82,0.72182700671657
218,0,0,27,12,0,0,1,1,0,12270.89,7709.129,7806.829,0.71653593958173
219,0,0,45,8,0,0,1,1,1,22415.97,7635.726,15931.37,0.710822840990407
220,0,0,26,12,0,0,1,1,0,2345.242,7565.903,2838.713,0.734227088488859
221,0,0,27,12,0,0,1,1,0,9788.497,7496.081,14038.4,0.719773830981234
222,0,0,33,8,0,0,1,1,1,12312.03,7474.597,25514.43,0.719242196855092
223,0,0,25,12,0,0,1,1,0,11381.38,7467.435,4162.756,0.716884924113556
224,0,0,49,8,0,0,1,1,1,6459.703,7431.629,7503.896,0.738855046943747
225,0,0,40,3,0,1,0,1,1,7576.485,7426.258,12104.06,0.737074929287917
226,0,0,22,12,1,0,0,1,0,9729.719,7372.548,2231.367,1.11535684213164
227,0,0,25,5,0,0,1,1,1,7891.927,7293.774,14617.67,0.713878645392473
228,0,0,25,12,0,0,1,1,0,11516.57,7263.339,19588.74,0.716513878634232
229,0,0,21,12,0,0,1,1,0,13601.23,7202.468,10746.03,0.713052821844001
230,0,0,33,9,0,1,0,1,1,11959.36,7087.887,25564.67,0.763555670645561
231,0,0,20,12,1,0,0,1,0,9555.344,7055.661,0,1.10063409736563
232,0,0,19,11,0,0,1,1,1,4306.468,6978.677,837.871,0.74493373060008
233,0,0,25,12,1,0,0,1,0,295.8493,6942.871,461.0507,1.53900499408939
234,0,0,29,12,0,0,1,1,0,15303.83,6932.129,24290.87,0.712903740531869
235,0,0,20,12,0,0,1,1,0,3558.029,6797.855,6680.802,0.727131940477989
236,0,0,29,6,0,1,0,1,1,8542.403,6701.177,7196.528,0.745679334272863
237,0,0,25,13,0,0,1,1,0,19259.59,6652.839,13015.82,0.71032083579902
238,0,0,41,15,0,0,1,1,0,25862.32,6563.323,24647,0.711496393173789
239,0,0,39,10,0,0,1,1,1,22745.13,6493.5,25564.67,0.712690814842239
240,0,0,33,12,0,0,1,1,0,10819.07,6369.968,2936.243,0.718957619659126
241,0,0,29,8,0,0,1,1,1,9169.369,6352.065,20575.86,0.72145901232164
242,0,0,21,11,0,0,1,1,1,10679.96,6276.871,10923.35,0.727785775037575
243,0,0,31,12,0,0,1,1,0,23652.27,6228.532,22403.81,0.706452843590612
244,0,0,36,12,1,0,0,1,0,11040.47,6221.371,7215.739,1.14345995893415
245,0,0,25,7,0,0,1,1,1,5597.625,6099.629,122.6513,0.721883122776971
246,0,0,35,7,0,0,1,1,1,10715.23,6087.097,15177.73,0.717487112999548
247,0,0,22,9,0,0,1,1,1,5683.833,6038.758,4742.025,0.728943931241084
248,0,0,31,2,0,1,0,1,1,3262.179,5965.355,9732.307,0.734419068557875
249,0,0,40,15,0,0,1,1,0,10907.24,5922.387,6238.962,0.734312737035683
250,0,0,47,3,0,0,1,1,1,9047.894,5911.645,6145.865,0.711996523932081
251,0,0,26,8,0,1,0,0,1,3168.134,5872.258,11136.15,0.898755696255065
252,0,0,42,7,0,0,1,1,1,10971.89,5806.016,9241.702,0.718990995814311
253,0,0,53,12,0,0,1,0,0,17104.4,5775.581,19965.56,0.73808353893522
254,0,0,30,17,1,0,0,0,0,17827.37,5546.419,14421.13,1.93306159890013
255,0,0,28,10,0,0,1,1,1,10415.46,5544.629,10289.41,0.725791597553766
256,0,0,46,11,0,0,1,1,1,14753.28,5299.355,0,0.729271455012248
257,0,0,28,12,0,0,1,0,0,8256.35,5279.661,21602.88,0.747489447626999
258,0,0,27,12,0,1,0,1,0,17604.01,5222.371,25564.67,0.727180181951802
259,0,0,25,10,0,0,1,1,1,4335.857,5181.194,12418.81,0.737907783844308
260,0,0,38,8,0,0,1,1,1,11242.27,5174.032,0,0.719925385718283
261,0,0,26,12,0,1,0,0,0,7968.338,5109.581,4181.966,0.826595440518714
262,0,0,54,12,0,0,1,0,0,7165.039,5012.903,0,0.77709922247045
263,0,0,38,8,0,1,0,1,1,22606.02,4978.887,8720.065,0.723547807747698
264,0,0,23,17,0,0,1,0,0,0,4876.839,16747.08,0.87750410235307
265,0,0,23,8,0,0,1,1,1,3595.255,4866.097,2782.559,0.727231152575792
266,0,0,23,12,0,0,1,1,0,11690.95,4764.048,14065,0.713613950881742
267,0,0,25,12,0,1,0,1,0,8746.167,4762.258,379.7757,0.749550747440535
268,0,0,25,15,0,0,1,1,0,7386.436,4738.984,12705.49,0.732670967746113
269,0,0,37,11,0,1,0,0,1,615.2098,4713.919,0,1.13459591330857
270,0,0,40,12,0,0,1,1,0,18389.68,4688.855,21857.05,0.710708662934357
271,0,0,19,10,0,0,1,0,1,5777.878,4672.742,135.9508,0.77062915752798
272,0,0,48,7,0,0,1,1,1,13326.93,4636.935,0,0.716395286005399
273,0,0,19,12,0,0,1,0,0,8530.648,4620.823,0,0.738769144985572
274,0,0,16,9,0,0,1,0,1,2539.21,4579.645,0,0.771997722219846
275,0,0,29,10,0,0,1,1,1,713.1731,4542.048,7781.708,0.751045527783332
276,0,0,30,16,0,0,1,0,0,3093.682,4468.645,15538.29,0.831859418653525
277,0,0,22,11,0,0,1,1,1,8761.841,4463.274,10642.59,0.729477310427004
278,0,0,22,10,0,0,1,0,1,17268.98,4400.613,2453.026,0.731277639624201
279,0,0,47,10,1,0,0,1,1,13311.26,4397.032,19330.14,1.29770689390785
280,0,0,25,12,0,1,0,1,0,2266.872,4361.226,3020.473,0.777944979659073
281,0,0,47,10,1,0,0,0,1,21918.32,4323.629,19438.02,1.43798088542463
282,0,0,24,12,1,0,0,1,0,8573.752,4293.194,0,1.09501434419393
283,0,0,20,12,1,0,0,1,0,2648.929,4273.5,0,1.26737735622044
284,0,0,28,12,1,0,0,0,0,16722.34,4253.806,7314.747,1.23809461320615
285,0,0,47,11,0,0,1,0,1,8060.424,4232.323,3358.873,0.807704375183329
286,0,0,50,0,0,0,1,1,1,10162.72,4218,220.1813,0.705944128310441
287,0,0,18,12,0,0,1,0,0,2217.89,4191.145,8957.978,0.759342648716495
288,0,0,21,12,0,0,1,0,0,9665.063,4110.581,1687.564,0.735794165402727
289,0,0,47,11,0,0,1,1,1,23924.61,4096.258,17358.85,0.713776787886932
290,0,0,21,12,0,0,1,0,0,2827.222,4056.871,5937.505,0.759125860041215
291,0,0,34,11,0,0,1,1,1,0,4010.323,18133.18,0.766790797783164
292,0,0,19,12,0,0,1,1,0,5817.063,3919.016,1066.919,0.719103079586042
293,0,0,44,13,0,0,1,1,0,8032.994,3881.419,3104.704,0.728977496487544
294,0,0,21,15,0,0,1,1,0,6951.479,3879.629,0,0.730127437067017
295,0,0,20,12,1,0,0,0,0,5099.971,3842.032,12718.79,1.76979934329632
296,0,0,51,11,0,0,1,0,1,48.98167,3813.387,1525.014,0.900474917667732
297,0,0,28,13,0,0,1,0,0,5260.631,3790.113,9253.524,0.764344123883125
298,0,0,24,15,0,0,1,0,0,12746.99,3743.565,0,0.748295755125649
299,0,0,28,8,0,1,0,1,1,8305.332,3718.5,0,0.754076573205905
300,0,0,20,11,0,0,1,1,1,5822.941,3532.306,11075.56,0.733737634430109
301,0,0,29,12,0,0,1,1,0,14288.93,3503.661,8133.407,0.711418886115523
302,0,0,23,12,0,0,1,1,0,14347.71,3482.177,3818.445,0.71020790318392
303,0,0,20,11,1,0,0,0,1,0,3480.387,5495.665,3.31407512945557
304,0,0,42,7,0,0,1,1,1,4324.102,3457.113,9856.436,0.727542088674242
305,0,0,43,12,0,0,1,1,0,14328.12,3453.532,18781.9,0.714476468502688
306,0,0,27,13,0,0,1,0,0,16406.9,3426.677,5344.937,0.727172710761641
307,0,0,27,4,0,1,0,1,1,626.9654,3410.565,3367.739,0.747504113607901
308,0,0,25,12,0,0,1,1,0,21469.65,3405.194,7981.201,0.705793124653809
309,0,0,18,12,0,0,1,0,0,4729.67,3328.21,12602.05,0.747055408823754
310,0,0,31,16,0,0,1,1,0,25862.32,3254.806,25564.67,0.709459915372169
311,0,0,27,12,0,0,1,1,0,4043.927,3231.532,7240.86,0.724041836949164
312,0,0,18,11,0,0,1,0,1,0,3226.161,15814.63,0.815286029082458
313,0,0,24,7,0,0,1,1,1,7860.578,3213.629,0,0.71532527110842
314,0,0,23,12,0,0,1,1,0,7856.66,3213.629,5535.564,0.71677771045329
315,0,0,50,12,0,0,1,1,0,19929.66,3190.355,18597.19,0.710320452550937
316,0,0,19,12,0,0,1,0,0,99.92261,3172.452,15436.33,0.766621717587257
317,0,0,23,10,0,0,1,1,1,15811.28,3145.597,6398.556,0.713650378177605
318,0,0,51,12,0,0,1,1,0,21001.38,3140.226,16015.6,0.70960175094816
319,0,0,19,11,1,0,0,0,1,5607.422,3054.29,94.5745,2.38135736902656
320,0,0,20,10,0,0,1,1,1,3099.56,2970.145,21141.83,0.733882400604715
321,0,0,20,11,0,1,0,0,1,2868.367,2968.355,7403.41,0.957012554881306
322,0,0,21,12,0,0,1,0,0,8128.998,2939.71,0,0.737605597326576
323,0,0,39,10,0,0,1,1,1,0,2886,18761.22,0.757746359551145
324,0,0,36,5,0,0,1,0,1,3814.692,2873.468,2751.527,0.742607173239612
325,0,0,19,9,1,0,0,0,1,1079.556,2873.468,14344.29,2.36914735135176
326,0,0,42,6,0,1,0,1,1,2425.572,2832.29,1907.745,0.77145513098788
327,0,0,20,7,0,0,1,0,1,1902.448,2792.903,6098.578,0.752497081678836
328,0,0,23,12,0,0,1,1,0,4954.986,2771.419,0,0.720444156229743
329,0,0,35,12,0,0,1,1,0,1469.45,2719.5,0,0.732353697672709
330,0,0,18,12,0,0,1,0,0,881.6701,2696.226,12120.31,0.760321480253769
331,0,0,43,8,0,0,1,1,1,18338.74,2674.742,6395.601,0.710773818228678
332,0,0,37,14,0,0,1,1,0,18501.36,2638.935,13429.58,0.71276050071729
333,0,0,24,10,0,0,1,1,1,4719.874,2565.532,2173.736,0.731345985403278
334,0,0,51,12,0,0,1,0,0,20742.76,2538.677,1019.631,0.723419668022225
335,0,0,22,11,0,1,0,0,1,7341.373,2535.097,14187.65,0.88765457358866
336,0,0,19,12,0,0,1,0,0,336.9939,2518.984,7118.209,0.763183655916654
337,0,0,52,0,0,1,0,1,1,773.9104,2506.452,0,0.73450627707974
338,0,0,21,12,0,0,1,0,0,2903.633,2456.323,4787.834,0.753868073368382
339,0,0,24,12,0,0,1,0,0,9784.578,2413.355,0,0.733915896985883
340,0,0,35,8,0,0,1,1,1,2241.401,2399.032,9460.406,0.732003264750678
341,0,0,20,13,0,0,1,0,0,0,2352.484,0,0.77686274840488
342,0,0,17,7,1,0,0,0,1,1054.086,2286.242,1613.677,1.83680631954475
343,0,0,18,10,1,0,0,0,1,311.5234,2284.452,8154.095,2.67705871125904
344,0,0,28,12,1,0,0,0,0,6285.328,2255.806,7310.313,1.72405905703015
345,0,0,25,14,0,1,0,1,0,1622.273,2239.694,1892.968,0.801013843970303
