fixture	sha256	bytes	rows	columns	schema	producer	consumers	classification
_val_zero_dur.dta	8ba95c4fd2b2e28f6ae6aaa1d6e0335e6b5b0434495f928414f27fbc584e2970	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|dose:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
cohort.dta	41b66bc6cc604badf3714a2ecdd2a7ebcaa0bf368a8b59a8fb58461a691f034e	47611	1000	16	id:int16:%12.0g|female:int8:%8.0g|age:int8:%8.0g|edss_baseline:double:%10.0g|bmi:double:%10.0g|education:int8:%12.0g|income_q:int8:%8.0g|comorbidity:int8:%8.0g|smoking:int8:%8.0g|region:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|edss4_dt:int16:%td|death_dt:int16:%td|emigration_dt:int16:%td|study_exit:int16:%td	data/generate_test_data.do;test_default_naming.do;test_edge_cases.do;test_integration.do;test_options.do;test_regressions.do;validation_pipeline.do;validation_supplemental.do;validation_tvexpose.do;validation_tvmerge.do	_tvtools_qa_common.do;test_default_naming.do;test_edge_cases.do;test_integration.do;test_options.do;test_regressions.do;test_tvevent.do;test_tvmerge.do;test_verbose.do;validation_pipeline.do;validation_supplemental.do;validation_tvexpose.do;validation_tvmerge.do	canonical
cohort_1day.dta	9e195e8ed5b224b5dff85ff9298ec9062a94199e6bfed8cebb6c2e313af54fef	2513	1	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_tvexpose.do	validation_tvexpose.do	canonical
cohort_3person.dta	62e3ecce29ba840f6713d72a868ddb121d9d31b61adb8c8df4fae844242fae13	2556	3	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_tvexpose.do	validation_tvexpose.do	canonical
cohort_formatted.dta	103478019daf18799fbc3e6f65a2faf09117021014c1d076ce7216b7d8fcd58a	2495	1	3	id:int32:%12.0g|study_entry:double:%tdCCYY-NN-DD|study_exit:double:%tdCCYY-NN-DD	validation_tvexpose.do	validation_tvexpose.do	canonical
cohort_large.dta	e3b84aab2339a7db633847c2dd0a983ee19a44a19b815b84dbfc00f8e07c4a22	190978	5000	16	id:int16:%12.0g|female:int8:%8.0g|age:int8:%8.0g|edss_baseline:double:%10.0g|bmi:double:%10.0g|education:int8:%8.0g|income_q:int8:%8.0g|comorbidity:int8:%8.0g|smoking:int8:%8.0g|region:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|edss4_dt:int16:%td|death_dt:int16:%td|emigration_dt:int16:%td|study_exit:int16:%td	data/generate_test_data.do	source-control/retained-canonical	canonical
cohort_miss.dta	660f6b6f06dbe9180ae8ffd8c015141466b60590a3caa1b530587cda8340aa1f	47611	1000	16	id:int16:%12.0g|female:int8:%8.0g|age:int8:%8.0g|edss_baseline:double:%10.0g|bmi:double:%10.0g|education:int8:%12.0g|income_q:int8:%8.0g|comorbidity:int8:%8.0g|smoking:int8:%8.0g|region:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|edss4_dt:int16:%td|death_dt:int16:%td|emigration_dt:int16:%td|study_exit:int16:%td	data/generate_test_data.do	source-control/retained-canonical	canonical
cohort_multi.dta	8df7f0bf7b8b3082808a83c3c9da2e2d4249b3bdea75ae3ba192d866904f4f64	2554	3	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_tvexpose.do	validation_tvexpose.do	canonical
cohort_single.dta	f06b136ac7ecf7963b0fffa93ac959f7df0050d676546b0443bd2534ab8f03a5	2532	1	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_tvexpose.do	validation_tvexpose.do	canonical
cohort_stress.dta	bef980c0f17dbcc8bcb2b043316189afad1d114c99994eea523e178eb0eac02b	135675	10000	8	id:int16:%12.0g|female:int8:%8.0g|age:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|study_exit:int16:%td|edss4_dt:int16:%td|death_dt:int16:%td	data/generate_test_data.do	source-control/retained-canonical	canonical
cohort_with_covars.dta	cf56317c1ae37f8f8866db9d8a7ca570de216283161c74ecade8d3583e0377bc	3778	1	5	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td|female:int8:%8.0g|age:int16:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
cohort_with_unexposed.dta	c92c16e7d1f28643b6fd557b4c4db2027e3e86bd399a76d46b2bab78110ce4b9	2576	3	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_tvexpose.do	validation_tvexpose.do	canonical
dmt.dta	7349af489fa82e3c9d39465aecf34404fb5ad7fa3b1580ca64379f890ac276f0	16461	1865	4	id:int16:%12.0g|dmt_start:int16:%td|dmt_stop:int16:%td|dmt:int8:%17.0g	data/generate_test_data.do;test_tvmerge.do	test_tvevent.do;test_tvmerge.do	canonical
dmt_large.dta	a2c854d3a7c29387d5a27744fafd0755e86b09a7f348f0b3d6128671147c2bfd	69293	9454	4	id:int16:%12.0g|dmt_start:int16:%td|dmt_stop:int16:%td|dmt:int8:%8.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
dmt_miss.dta	7e4db9bba74ccdfa8a1e95738517bceb9afbbaaec785779850f08fc3d2977943	15978	1796	4	id:int16:%12.0g|dmt_start:int16:%td|dmt_stop:int16:%td|dmt:int8:%17.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_boundary_exp.dta	18816e5f57ed26a693415a94255b3b2d88cc67acab5d8af2228abe5b5e39cc75	4175	30	5	id:int8:%12.0g|rx_start:int16:%td|rx_stop:int16:%td|hrt_type:int8:%8.0g|dose:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_empty_exp.dta	2b555d39e0221a05c8886556d0cadef80691bec4a42ae39cbd34eba6702acb38	3755	0	5	id:int16:%12.0g|rx_start:float:%td|rx_stop:float:%td|hrt_type:int8:%8.0g|dose:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_long_exp.dta	2cebbac1cb15602fe1805b6633a23de640c42e3fa01517495a59625ca72f91eb	4595	60	5	id:int8:%12.0g|rx_start:int16:%td|rx_stop:int16:%td|hrt_type:int8:%8.0g|dose:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_long_followup.dta	3e43a19258490b1a83b874d5de0eca0a49cacfd712baf3202902adfb2fa9fc57	6535	20	9	id:int8:%12.0g|age:int8:%9.0g|female:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|study_exit:int16:%td|edss4_dt:int8:%9.0g|death_dt:int8:%9.0g|emigration_dt:int8:%9.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_no_exposure_cohort.dta	6c37202ad499bf7e3affe58747056c746fc70b9ff24d5034b9b8f2ffbac8f21d	14051	50	17	id:int8:%12.0g|female:int8:%8.0g|age:int8:%8.0g|edss_baseline:double:%10.0g|bmi:double:%10.0g|education:int8:%12.0g|income_q:int8:%8.0g|comorbidity:int8:%8.0g|smoking:int8:%8.0g|region:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|edss4_dt:int16:%td|death_dt:int16:%td|emigration_dt:int16:%td|study_exit:int16:%td|has_exp:int8:%8.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_same_type.dta	73e57e7c6ffb96eed68fbed2df6a3826a657518034eec7d978a37be934fc9690	6555	200	5	id:int8:%12.0g|rx_start:int16:%td|rx_stop:int16:%td|hrt_type:int8:%8.0g|dose:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_short_exp.dta	f842c43203ce4cc54442178cb8d9411c06140352a552a1903abbcce09a411d02	4455	50	5	id:int8:%12.0g|rx_start:int16:%td|rx_stop:int16:%td|hrt_type:int8:%8.0g|dose:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_short_followup.dta	6d19856b7b3f8b4bddefa9fb388bacf50a445a2af869854fab5aebe10853d798	6358	50	8	id:int8:%12.0g|female:int8:%8.0g|age:int8:%8.0g|study_entry:int16:%td|study_exit:int16:%td|edss4_dt:int8:%9.0g|death_dt:int8:%9.0g|emigration_dt:int8:%9.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_single_exp.dta	73c65bb8f57e9992350d20cb1798d28552a8a1b7be52d93cdae88586719c74cc	3769	1	5	id:int8:%12.0g|rx_start:int16:%td|rx_stop:int16:%td|hrt_type:int8:%8.0g|dose:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
edge_single_obs.dta	e0e3cec2c6c7ec608c1c4d3364be6f4240d8174ef8713161df9147fc13312e7a	6327	1	9	id:int8:%12.0g|age:int8:%9.0g|female:int8:%8.0g|mstype:int8:%8.0g|study_entry:int16:%td|study_exit:int16:%td|edss4_dt:int16:%td|death_dt:int8:%td|emigration_dt:int8:%td	data/generate_test_data.do	source-control/retained-canonical	canonical
edss_long.dta	a61b78722641dc8efa8e7619c678e50007cb8896085d60d198580ee6d47cd724	80619	6512	3	id:int16:%12.0g|edss_dt:int16:%td|edss:double:%10.0g	data/generate_test_data.do	source-control/retained-canonical	canonical
events_3_competing.dta	b47a7789739e4823143e9a9dc4fccd46e48a9d08f127f3a248f88b43d49df27a	3821	1	5	id:int32:%12.0g|primary_dt:double:%td|cr1_dt:double:%td|cr2_dt:double:%td|cr3_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_all_missing.dta	57ff37e25495d43302a94b599490efc28c51f8fada4b933c3fa27125afe8c6ad	1888	2	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_at_start.dta	4b914716a879297e43a60f6b9850bac6a24cc2ca09a22f8daccd8e2f0c387e87	1876	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_at_stop.dta	8d73fc642434fc3d4886590df583392ff17e94c39444c408c8dfc6a8ae252877	1875	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_backtoback.dta	e09cbb5ab4af01aeb046d9261fdf7794b1878a2cbdc1a19d8be03251e82b1f46	3179	1	4	id:int32:%12.0g|hosp1:double:%td|hosp2:double:%td|hosp3:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_before_study.dta	53f98d4dca203b14ec370d2e63a163f5bcaad9bd85ec6adc0af4fa2803e991a1	1892	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_compete.dta	56f39119a3740ae8af3060983427a235cc7a0efb2f6cb11063e9d140fb76016a	2536	1	3	id:int32:%12.0g|event_dt:double:%td|death_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_compete_multi.dta	30386ed1fa256c97960191bf7098a2ae0b75c4131242091fa2e99b153d57fd3b	3185	1	4	id:int32:%12.0g|event_dt:double:%td|death_dt:double:%td|other_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_compete_sameday.dta	60b18c9a2365780550a44b8fd55e82aef058f95b32be6ab26042cb4e4e89b925	3174	1	4	id:int32:%12.0g|primary_dt:double:%td|death_dt:double:%td|emig_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_competing.dta	63c65c586b34f9598513ebbfa409f06efb07a9b8382fe2fa7a99cdeed3c5eeb7	2548	1	3	id:int32:%12.0g|primary_dt:double:%td|death_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_cumtime_test.dta	c39479f42c95c7710ef0396e043d9e5d8441ff220e9fa668b502848bec0cd1f4	1890	2	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_day_after_start.dta	01ee7c646048486512b1ebd6b694d37e23cdb710f297c775b2da4af45d8d2c71	1886	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_empty.dta	e4e75728dadb121b3030387f772e4943855739f5126c57b2d4927e176f6ca157	1854	0	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_in_presplit.dta	80491cfb497746543ae2254d01d258bd3706619db5800c8371f5306547417375	2495	1	3	id:int32:%12.0g|hosp1:double:%td|hosp2:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_midyear.dta	23060dc5cf994be771284a6b49cf10d2b40925297add203a249a8c4add0ac8e2	1883	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_missing_compete.dta	b1e7a0e102c5a686f4729c6a1a228f17261ecc830019d09532597c7909b6b7a5	2541	1	3	id:int32:%12.0g|primary_dt:double:%td|death_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_mixed.dta	43e8875fad4cc45bea0bf398ad83e6b7469318bcdc2a7b718e99f9b0a78cd724	1903	2	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_multi_compete.dta	a718409cbe75e184ef9852c32357d13cae642aa96f4f3b1489aeac74b9bedd9c	3214	1	4	id:int32:%12.0g|primary_dt:double:%td|death_dt:double:%td|emig_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_multi_recurring.dta	2459668ef51d1b6c0863adf0427b97d9fb52edbe6e62c6a88085841afb2f25f3	3250	3	4	id:int32:%12.0g|hosp1:double:%td|hosp2:double:%td|hosp3:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_multiperson.dta	b5db0d09be558e4c46fdf51dca23534e99e438a291bc60f962c7c4d4ce074a6c	1897	2	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_on_split.dta	ec69208d949551476554c89a9acb9c9788dfa76498b7203d7af14138d470f8a1	1884	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_oneday.dta	8dfcfc8b360c68c54096604a10b5701f9ae91db2b6002cadbcd74097d38aaabf	1847	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_outside.dta	3afc6c36c5f50d3f3d0d9e66a85acfb69c71713b76c08e84bbda96516da9ad03	1873	1	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_primary_first.dta	1da271756cee99b3d6cbbceb318a216d39402a3939ebfea99612a5c9bdacae57	2495	1	3	id:int32:%12.0g|primary_dt:double:%td|death_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_primary_missing.dta	c1910aeeb407f763f88e250d4170c65f85e11b1212115cd81f4d49f49a4504f5	2538	1	3	id:int32:%12.0g|primary_dt:double:%td|death_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_recurring_keepvars.dta	2e6eccbc68be5e51c27b6e37842c16a52db99efc70bb04e96c58d945df9aba39	3828	1	5	id:int32:%12.0g|hosp1:double:%td|hosp2:double:%td|hosp3:double:%td|drug:string:%10s	validation_tvevent.do	validation_tvevent.do	canonical
events_recurring_wide.dta	0831644adaa8f1cfad2e097400f916a16646d485f8e5a28fa6f010ea7e8f0544	3184	1	4	id:int32:%12.0g|hosp1:double:%td|hosp2:double:%td|hosp3:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_same_date_multi.dta	222dcccf1cddf49ef3179d5a46dc11d54bd85152aa1572e988392ebaf76208b9	1908	3	2	id:int32:%12.0g|event_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_sameday.dta	229fb49ca45aa7b4ebc984477be04defe5357577c09a9dcf6d9a19f50f8ebde6	2535	1	3	id:int32:%12.0g|primary_dt:double:%td|compete_dt:double:%td	validation_tvevent.do	validation_tvevent.do	canonical
events_with_vars.dta	351f8394a48f0b77ccb1355e7d8418b5f11260e648df7543b43444501d35d306	3177	1	4	id:int32:%12.0g|event_dt:double:%td|dx_code:string:%10s|severity:int16:%8.0g	validation_tvevent.do	validation_tvevent.do	canonical
exp_1day_after_entry.dta	f7154bd63b7a31a0fa1b0e1d4986285d6dc7232e9c2b838a82bb693195f2ba26	3177	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_1day_before_exit.dta	32c3f3cc0919505afbb889d93ee5146386e4275e94a9b4197a0cc003578e524f	3175	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_2day.dta	8b7a56f9a9219cedbaa74aae435073558ea51055ff0f730ddaf02b85afbdd924	3150	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_91days.dta	f6799e95cb618db480d603f929dcc823ded70dfb93160baf24a77e84a577589b	3184	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_abutting.dta	7f6c3a4ba4f2e2b4d76f027053ac6344d3aff850c5156a5c789218aa3c291f87	3157	2	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_adjacent.dta	1749d1991d05b9d0b2d684e658ba67cd6eef2b73ed16a6ad3476729a57a2ae31	3194	2	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_after_exit.dta	37050c66014d848ec3bf3ba9e467e986a9592247e8b76f222416dfd006f366e6	3172	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_at_entry.dta	7fad5e2e9e8a88c67ca280be74f21de72d51e8f52a8155c543bdc9011a31bf42	3176	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_at_exit.dta	feade082bdc0ad65b0dc34f31bd1fadfdc38a8519b4d176ef7201b7f58a16ea4	3173	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_basic.dta	c66ca45440183aaec78a4d681674f009dd021e00c7590b5588d2ff68d2ce9abf	3172	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_before_entry.dta	e5ca3dfa3bfb3f0c89f174af454163d9307dc71caa664b5db1fd45e5eae65e8e	3173	1	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_close_periods.dta	753befb7d05beb2f2c8475ac69da242ebf170e5fe442c78f23fee1d6e4927ac8	3178	3	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_dose.dta	005ecca30d9a84f3597275c689a9fc14b24860a8588b86a21fd4bb866eaf152b	3189	2	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|dose_amt:double:%10.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
exp_empty.dta	60593c92a25d63253c4af61c32d554baf6065fd170bdcbe89d2789761729f260	3137	0	4	id:int32:%12.0g|rx_start:double:%td|rx_stop:double:%td|exp_type:int8:%8.0g	validation_tvexpose.do	validation_tvexpose.do	canonical
