"arm","rep","n","trunc","method","b1","b2","ll","nevent"
"B",10,3000,"independent","pooled",0.452389583121526,-0.480009997307883,-10510.9386686166,1441
"B",11,3000,"independent","pooled",0.521635896906805,-0.481256035826654,-10254.1730685224,1404
"B",12,3000,"independent","pooled",0.568271046612331,-0.555081392834966,-10128.1926246674,1392
"B",13,3000,"independent","pooled",0.545237004822943,-0.471153677961264,-10500.1266598956,1428
"B",14,3000,"independent","pooled",0.477673578034155,-0.527690828616289,-10535.1765776429,1440
"B",15,3000,"independent","pooled",0.605970974387647,-0.490505378464621,-10427.5238225569,1428
"B",16,3000,"independent","pooled",0.443702056112706,-0.624221981662289,-10771.5984217744,1466
"B",17,3000,"independent","pooled",0.395417288365619,-0.507052332874134,-10687.289463846,1471
"B",18,3000,"independent","pooled",0.525946296246073,-0.462194643103753,-10403.0233882797,1419
"B",19,3000,"independent","pooled",0.517898426289541,-0.48299387562721,-10489.7024535909,1437
"B",20,3000,"independent","pooled",0.536169132315992,-0.55372385995394,-10376.9385548689,1413
"C",1,3000,"bygroup","same",0.443110281376663,-0.457898102392405,-28639.8974668336,1526
"C",2,3000,"bygroup","same",0.49058345011447,-0.541666039219885,-26331.4214601334,1506
"C",3,3000,"bygroup","same",0.369255898635774,-0.484605456124982,-24672.3729236082,1462
"C",4,3000,"bygroup","same",0.451104294768697,-0.516451455419477,-25133.554724645,1488
"C",5,3000,"bygroup","same",0.537667705705337,-0.488663327894577,-24163.2607055429,1485
"C",6,3000,"bygroup","same",0.631781715871178,-0.575687095351602,-32305.0932795927,1477
"C",7,3000,"bygroup","same",0.459021222629119,-0.459445551540483,-28946.9380355942,1555
"C",8,3000,"bygroup","same",0.473897147088143,-0.50002479092433,-27449.8479097114,1485
"C",9,3000,"bygroup","same",0.478937831946176,-0.488633340298972,-24816.8163058363,1523
"C",10,3000,"bygroup","same",0.485340664944742,-0.501054736098313,-27569.4336557922,1510
"C",11,3000,"bygroup","same",0.552289581048501,-0.455684816799072,-25790.6303755784,1499
"C",12,3000,"bygroup","same",0.51442004126645,-0.517077708611331,-24595.4569679785,1469
"C",13,3000,"bygroup","same",0.579906954154488,-0.480678694717762,-27036.6918609595,1510
"C",14,3000,"bygroup","same",0.482057265123985,-0.525320348117964,-30029.8940870199,1493
"C",15,3000,"bygroup","same",0.549332633416564,-0.525318383094689,-26795.9831001556,1484
"C",16,3000,"bygroup","same",0.429529442042886,-0.55810082632701,-26745.4215196885,1536
"C",17,3000,"bygroup","same",0.367035258264578,-0.506948851408843,-27972.4171013462,1531
"C",18,3000,"bygroup","same",0.629775000338717,-0.500678509337375,-27651.4980064685,1500
"C",19,3000,"bygroup","same",0.479142736278779,-0.440427178215139,-28097.8898351085,1525
"C",20,3000,"bygroup","same",0.431929262088345,-0.522923495508528,-26971.4633764189,1479
"D",1,3000,"bygroup","pooled",0.332961715552804,-0.478689640717212,-11110.880669104,1526
"D",2,3000,"bygroup","pooled",0.384076427910678,-0.545032944871979,-10965.0830834255,1506
"D",3,3000,"bygroup","pooled",0.243480540071357,-0.481416558764886,-10750.4525383595,1462
"D",4,3000,"bygroup","pooled",0.347835935369671,-0.526527133457596,-10839.1538710184,1488
"D",5,3000,"bygroup","pooled",0.408840662513881,-0.487232586624676,-10864.0199405529,1485
"D",6,3000,"bygroup","pooled",0.532222580954975,-0.580465620689666,-10748.7858210317,1477
"D",7,3000,"bygroup","pooled",0.354124472484105,-0.461955086998115,-11325.9853687367,1555
"D",8,3000,"bygroup","pooled",0.344104614658819,-0.51018901721402,-10885.7298432368,1485
"D",9,3000,"bygroup","pooled",0.374899275685036,-0.499088250982379,-11177.3555827552,1523
"D",10,3000,"bygroup","pooled",0.38577922266669,-0.500967020668804,-10989.7069187759,1510
"D",11,3000,"bygroup","pooled",0.438818867497267,-0.463119662119781,-10923.7739003699,1499
"D",12,3000,"bygroup","pooled",0.40390026079664,-0.527533751163193,-10675.6616174612,1469
"D",13,3000,"bygroup","pooled",0.450117535471545,-0.481959891870999,-11101.079071561,1510
"D",14,3000,"bygroup","pooled",0.365419619592524,-0.533978977197684,-10916.0557686086,1493
"D",15,3000,"bygroup","pooled",0.421501784829313,-0.521536364368225,-10822.7142392146,1484
"D",16,3000,"bygroup","pooled",0.325879582461495,-0.575950466703883,-11207.2918921848,1536
"D",17,3000,"bygroup","pooled",0.234168790894328,-0.518689722474745,-11159.2762804918,1531
"D",18,3000,"bygroup","pooled",0.498761970457206,-0.496360981293564,-10922.6143571093,1500
"D",19,3000,"bygroup","pooled",0.357048504134956,-0.467646009595977,-11138.5630809243,1525
"D",20,3000,"bygroup","pooled",0.302080067101696,-0.551434890168757,-10808.3245632085,1479
"X",1,3000,"cross","cross",0.475533589089859,-0.454629738702202,-25340.9546709137,1348
"X",2,3000,"cross","cross",0.571953812189524,-0.568812311625716,-24301.8462737453,1340
"X",3,3000,"cross","cross",0.396860385891049,-0.490974315359152,-23985.1859718163,1312
"X",4,3000,"cross","cross",0.458949426927358,-0.544709401603126,-26179.4116124575,1319
"X",5,3000,"cross","cross",0.575876955060917,-0.514775663677233,-23372.7828943306,1307
"X",6,3000,"cross","cross",0.617525081462209,-0.579212077122008,-32501.7197983521,1298
"X",7,3000,"cross","cross",0.48939880456614,-0.437128940756989,-28168.5143365724,1394
"X",8,3000,"cross","cross",0.407214529287117,-0.478268120336576,-26281.9561434199,1318
"X",9,3000,"cross","cross",0.485976890908912,-0.48065785719774,-23717.8619701198,1348
"X",10,3000,"cross","cross",0.475487970342902,-0.492834445020611,-25211.1252453695,1344
"X",11,3000,"cross","cross",0.564996316842015,-0.463691995993066,-24047.9050765863,1310
"X",12,3000,"cross","cross",0.554553254788907,-0.551473828120168,-25733.5410397962,1283
"X",13,3000,"cross","cross",0.507307668844123,-0.436974438157474,-24672.4179404884,1343
"X",14,3000,"cross","cross",0.479296857082178,-0.525233725651134,-25904.2319559532,1328
"X",15,3000,"cross","cross",0.546982023306913,-0.524337177881371,-23941.3134734454,1302
"X",16,3000,"cross","cross",0.513994127795517,-0.566037741119056,-24992.4711337271,1366
"X",17,3000,"cross","cross",0.394539460916675,-0.541854059211319,-27123.8028942076,1351
"X",18,3000,"cross","cross",0.520225319400916,-0.461430608511737,-24237.2800732879,1327
"X",19,3000,"cross","cross",0.524322087292145,-0.465389358921505,-25668.4374680879,1340
"X",20,3000,"cross","cross",0.437162468977364,-0.537923780988423,-25213.7483729806,1317
