"arm","rep","n","trunc","method","b1","b2","ll","nevent"
"B",10,3000,"independent","pooled",0.452389583121526,-0.480009997307883,-10510.9386686166,1441
"B",11,3000,"independent","pooled",0.521635896906805,-0.481256035826654,-10254.1730685224,1404
"B",12,3000,"independent","pooled",0.568271046612331,-0.555081392834966,-10128.1926246674,1392
"B",13,3000,"independent","pooled",0.545237004822943,-0.471153677961264,-10500.1266598956,1428
"B",14,3000,"independent","pooled",0.477673578034155,-0.527690828616289,-10535.1765776429,1440
"B",15,3000,"independent","pooled",0.605970974387647,-0.490505378464621,-10427.5238225569,1428
"B",16,3000,"independent","pooled",0.443702056112706,-0.624221981662289,-10771.5984217744,1466
"B",17,3000,"independent","pooled",0.395417288365619,-0.507052332874134,-10687.289463846,1471
"B",18,3000,"independent","pooled",0.525946296246073,-0.462194643103753,-10403.0233882797,1419
"B",19,3000,"independent","pooled",0.517898426289541,-0.48299387562721,-10489.7024535909,1437
"B",20,3000,"independent","pooled",0.536169132315992,-0.55372385995394,-10376.9385548689,1413
"C",1,3000,"bygroup","same",0.443504477486342,-0.461798187960693,-11282.1901726297,1526
"C",2,3000,"bygroup","same",0.491389180388691,-0.539782250499803,-11043.7483145059,1506
"C",3,3000,"bygroup","same",0.36802234621009,-0.478739609234484,-10836.769658962,1462
"C",4,3000,"bygroup","same",0.453063707886332,-0.516647945037355,-10943.686944939,1488
"C",5,3000,"bygroup","same",0.537437197001182,-0.48376397974062,-10925.7749806813,1485
"C",6,3000,"bygroup","same",0.631776093106619,-0.575671909339182,-11953.2057086055,1477
"C",7,3000,"bygroup","same",0.458995545865116,-0.462242959781216,-11497.8058667398,1555
"C",8,3000,"bygroup","same",0.475315423129369,-0.502267627109213,-11005.479036279,1485
"C",9,3000,"bygroup","same",0.479062040331349,-0.490341583452645,-11298.7350075039,1523
"C",10,3000,"bygroup","same",0.484448141527229,-0.496646671119858,-11141.210892452,1510
"C",11,3000,"bygroup","same",0.552495250499866,-0.457941518727186,-11017.3532944384,1499
"C",12,3000,"bygroup","same",0.514272403738788,-0.516064256551305,-10790.4374210385,1469
"C",13,3000,"bygroup","same",0.581255767614995,-0.484836481270612,-10992.2807431897,1510
"C",14,3000,"bygroup","same",0.481692417510392,-0.525573952904464,-11116.5564665083,1493
"C",15,3000,"bygroup","same",0.54908324508255,-0.520414824068296,-10864.0991562057,1484
"C",16,3000,"bygroup","same",0.429676622092032,-0.562091327128643,-11445.5660670182,1536
"C",17,3000,"bygroup","same",0.369800527533129,-0.514001681371063,-11302.86221949,1531
"C",18,3000,"bygroup","same",0.628983708550818,-0.496215353849909,-11076.9689532647,1500
"C",19,3000,"bygroup","same",0.480753645550688,-0.451633376263742,-11354.273995465,1525
"C",20,3000,"bygroup","same",0.433690041373278,-0.533608179192965,-10970.6240781822,1479
"D",1,3000,"bygroup","pooled",0.332961715552804,-0.478689640717212,-11110.880669104,1526
"D",2,3000,"bygroup","pooled",0.384076427910678,-0.545032944871979,-10965.0830834255,1506
"D",3,3000,"bygroup","pooled",0.243480540071357,-0.481416558764886,-10750.4525383595,1462
"D",4,3000,"bygroup","pooled",0.347835935369671,-0.526527133457596,-10839.1538710184,1488
"D",5,3000,"bygroup","pooled",0.408840662513881,-0.487232586624676,-10864.0199405529,1485
"D",6,3000,"bygroup","pooled",0.532222580954975,-0.580465620689666,-10748.7858210317,1477
"D",7,3000,"bygroup","pooled",0.354124472484105,-0.461955086998115,-11325.9853687367,1555
"D",8,3000,"bygroup","pooled",0.344104614658819,-0.51018901721402,-10885.7298432368,1485
"D",9,3000,"bygroup","pooled",0.374899275685036,-0.499088250982379,-11177.3555827552,1523
"D",10,3000,"bygroup","pooled",0.38577922266669,-0.500967020668804,-10989.7069187759,1510
"D",11,3000,"bygroup","pooled",0.438818867497267,-0.463119662119781,-10923.7739003699,1499
"D",12,3000,"bygroup","pooled",0.40390026079664,-0.527533751163193,-10675.6616174612,1469
"D",13,3000,"bygroup","pooled",0.450117535471545,-0.481959891870999,-11101.079071561,1510
"D",14,3000,"bygroup","pooled",0.365419619592524,-0.533978977197684,-10916.0557686086,1493
"D",15,3000,"bygroup","pooled",0.421501784829313,-0.521536364368225,-10822.7142392146,1484
"D",16,3000,"bygroup","pooled",0.325879582461495,-0.575950466703883,-11207.2918921848,1536
"D",17,3000,"bygroup","pooled",0.234168790894328,-0.518689722474745,-11159.2762804918,1531
"D",18,3000,"bygroup","pooled",0.498761970457206,-0.496360981293564,-10922.6143571093,1500
"D",19,3000,"bygroup","pooled",0.357048504134956,-0.467646009595977,-11138.5630809243,1525
"D",20,3000,"bygroup","pooled",0.302080067101696,-0.551434890168757,-10808.3245632085,1479
"X",1,3000,"cross","cross",0.446754701430421,-0.451457124650014,-9832.94839747752,1348
"X",2,3000,"cross","cross",0.577131385867478,-0.572996089843101,-10053.2667950752,1340
"X",3,3000,"cross","cross",0.393973566455888,-0.494018818166539,-9865.42774183689,1312
"X",4,3000,"cross","cross",0.474747514124463,-0.544147015838625,-9816.60795325705,1319
"X",5,3000,"cross","cross",0.575862775900343,-0.5096592326168,-9843.425751224,1307
"X",6,3000,"cross","cross",0.600818643511058,-0.568980422277766,-10279.9515691267,1298
"X",7,3000,"cross","cross",0.479647917705772,-0.447168062815065,-10084.942867732,1394
"X",8,3000,"cross","cross",0.391612566996877,-0.479008873312428,-9825.30901657291,1318
"X",9,3000,"cross","cross",0.487881428164454,-0.485591794777597,-10082.1978243743,1348
"X",10,3000,"cross","cross",0.475403213891012,-0.499351504003169,-9900.52764346857,1344
"X",11,3000,"cross","cross",0.571759664175964,-0.472338870281599,-9809.00842587514,1310
"X",12,3000,"cross","cross",0.562361687873131,-0.552094082653083,-9526.22228727806,1283
"X",13,3000,"cross","cross",0.476001425123718,-0.445320783750757,-9826.05045328049,1343
"X",14,3000,"cross","cross",0.44619256179837,-0.52778179596,-9732.80833695913,1328
"X",15,3000,"cross","cross",0.551227490821731,-0.51737507314969,-9655.86675655144,1302
"X",16,3000,"cross","cross",0.511832252702346,-0.578741707404828,-10405.2476408062,1366
"X",17,3000,"cross","cross",0.388686419034235,-0.544559350338064,-9913.05192217445,1351
"X",18,3000,"cross","cross",0.526408378393981,-0.464974440102324,-10064.7975853537,1327
"X",19,3000,"cross","cross",0.516922320443682,-0.451728481494296,-9977.17185944779,1340
"X",20,3000,"cross","cross",0.450951410717363,-0.530450872720321,-9990.23752776701,1317
